"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FC","2025-04-29","91.3","2.52","6.08","Crochet, Garrett",664702,676979,"field_out","hit_into_play",,,,,4,"Myles Straw grounds out, third baseman Alex Bregman to first baseman Triston Casas.","R","R","L","TOR","BOS","X",5,"ground_ball",1,1,2025,"-0.37","0.65","-0.53","2.52",,676391,,2,7,"Bot",102.86,169.8,,,,,-6.907856468561208,-132.81457501817096,-4.455500701273961,-2.876876664522563,29.201748071781367,-23.76109705335104,"3.45","1.64",15,"89.9",-9,"91.6",2598,"6.5",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.98",0.162,0.171,"0",1,0,0,2,60,3,"Cutter",2,7,2,7,7,2,2,7,"Standard","Standard",163,"-0.01","-0.263","71.6","6.8",0.172,"0.263","89.9",-5,-5,0.028,0.028,26,30,26,31,3,2,5,2,5,3,"2.1","-0.37","0.37","33.8",14.888343169599313,-6.239895659592068,37.93173911731146,29.56268411487553,27.07965350361196
"FC","2025-04-29","90.3","2.65","6.07","Crochet, Garrett",664702,676979,,"called_strike",,,,,2,"Called Strike","R","R","L","TOR","BOS","S",,,1,0,2025,"-0.54","0.75","-0.06","3.37",,676391,,2,7,"Bot",,,,,,,-5.60132326667395,-131.39112526570824,-2.3919235860888906,-5.11770977631771,27.26874011947481,-23.157798514942545,"3.45","1.62",,,,"90.8",2604,"6.5",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.97",,,,,,,,60,2,"Cutter",2,7,2,7,7,2,2,7,"Standard","Standard",182,"-0.001","-0.044",,,,"0.044",,-5,-5,0.029,0.029,26,30,26,31,3,2,5,2,5,3,"2.04","-0.54","0.54","36.8",,,,,
"FC","2025-04-29","92","2.48","6.11","Crochet, Garrett",664702,676979,,"ball",,,,,8,"Ball","R","R","L","TOR","BOS","B",,,0,0,2025,"-0.2","0.9","0.01","1.67",,676391,,2,7,"Bot",,,,,,,-5.833228680440718,-133.70978144367683,-7.374950475084242,-1.1235528271479351,29.361717286131608,-19.945262599060914,"3.52","1.72",,,,"92.2",2628,"6.5",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.99",,,,,,,,60,1,"Cutter",2,7,2,7,7,2,2,7,"Standard","Standard",154,"0.001","0.019",,,,"-0.019",,-5,-5,0.028,0.028,26,30,26,31,3,2,5,2,5,3,"1.8","-0.2","0.2","38.3",,,,,
"FF","2025-04-29","94.8","2.62","5.97","Crochet, Garrett",665926,676979,"field_out","hit_into_play",,,,,12,"Andrés Giménez grounds out softly, second baseman Kristian Campbell to first baseman Triston Casas. Ernie Clement to 2nd.","R","L","L","TOR","BOS","X",4,"ground_ball",0,0,2025,"0.94","1.07","1.02","3.5",,,676391,1,7,"Bot",136.57,159.22,,,,,-6.3116977051104355,-137.82336054323247,-3.153285381804119,13.442526699771093,32.136076535587925,-18.099774957342536,"3.41","1.52",39,"43.7",5,"94.8",2465,"6.4",778127,665966,671213,692225,608324,596115,680776,678882,677800,"54.07",0.165,0.168,"0",1,0,0,1,59,1,"4-Seam Fastball",2,7,2,7,7,2,2,7,"Standard","Standard",134,"-0.011","-0.318","50.3","5.9",0.19,"0.318","88.0",-5,-5,0.039,0.039,26,26,26,27,3,2,5,2,5,1,"1.48","0.94","0.94","30.4",2.2836598518971036,4.629458797265578,28.310478266259956,25.071595567198894,22.744499064923446
"SI","2025-04-29","94.4","2.67","5.8","Crochet, Garrett",676391,676979,"single","hit_into_play",,,,,12,"Ernie Clement singles on a line drive to center fielder Ceddanne Rafaela.","R","R","L","TOR","BOS","X",8,"line_drive",2,1,2025,"1.51","0.39","1.02","2.65",,,,1,7,"Bot",119.38,81.45,,,,,-7.691419550906,-137.13474993362513,-3.337294833293144,20.765144051517186,33.19154138267398,-26.66765754720757,"3.42","1.59",227,"82.3",15,"94.4",2216,"6.6",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.91",0.927,0.881,"0.9",1,1,0,4,58,4,"Sinker",2,7,2,7,7,2,2,7,"Standard","Standard",128,"0.011","0.37","65.4","7.2",1.061,"-0.37","88.0",-5,-5,0.028,0.028,26,29,26,29,3,2,5,2,5,1,"2.19","1.51","-1.51","24.1",10.902134664433284,0.365003692145086,24.223121858602376,49.769060481087614,26.94713037470636
"FC","2025-04-29","90.4","2.67","6","Crochet, Garrett",676391,676979,,"called_strike",,,,,6,"Called Strike","R","R","L","TOR","BOS","S",,,2,0,2025,"-0.03","0.59","0.51","2.83",,,,1,7,"Bot",,,,,,,-5.3429498410661385,-131.52578713124123,-3.1671085626757667,0.8960552660193374,30.911038838083734,-24.838875443044618,"3.49","1.61",,,,"90.4",2546,"6.5",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.98",,,,,,,,58,3,"Cutter",2,7,2,7,7,2,2,7,"Standard","Standard",166,"-0.003","-0.066",,,,"0.066",,-5,-5,0.031,0.031,26,29,26,29,3,2,5,2,5,1,"2.22","-0.03","0.03","31.8",,,,,
"SI","2025-04-29","94.8","2.65","5.9","Crochet, Garrett",676391,676979,,"ball",,,,,12,"Ball","R","R","L","TOR","BOS","B",,,1,0,2025,"1.57","0.49","1.4","2.98",,,,1,7,"Bot",,,,,,,-6.816240796169747,-137.78850477044605,-2.993633059649879,21.515490898102655,33.89917024852974,-25.46819599400259,"3.42","1.58",,,,"94.8",2264,"6.6",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.89",,,,,,,,58,2,"Sinker",2,7,2,7,7,2,2,7,"Standard","Standard",138,"0.003","0.071",,,,"-0.071",,-5,-5,0.028,0.028,26,29,26,29,3,2,5,2,5,1,"2.07","1.57","-1.57","27.4",,,,,
"SI","2025-04-29","95.3","2.67","5.93","Crochet, Garrett",676391,676979,,"ball",,,,,12,"Ball","R","R","L","TOR","BOS","B",,,0,0,2025,"1.52","0.69","0.88","3.27",,,,1,7,"Bot",,,,,,,-8.17239860202361,-138.51240252370698,-2.8570298869394164,21.43123481115365,32.707024340873275,-22.854097475549064,"3.52","1.61",,,,"95.6",2362,"6.6",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.86",,,,,,,,58,1,"Sinker",2,7,2,7,7,2,2,7,"Standard","Standard",135,"0.001","0.039",,,,"-0.039",,-5,-5,0.027,0.027,26,29,26,29,3,2,5,2,5,1,"1.84","1.52","-1.52","27.4",,,,,
"SI","2025-04-29","93.8","2.51","6.02","Crochet, Garrett",662139,676979,"field_out","hit_into_play",,,,,5,"Daulton Varsho grounds out sharply, second baseman Kristian Campbell to first baseman Triston Casas.","R","L","L","TOR","BOS","X",4,"ground_ball",0,0,2025,"1.58","0.77","-0.04","2.42",,,,0,7,"Bot",139.91,137.07,,,,,-10.116326319731021,-136.17552932209463,-5.258811975457698,21.852631690222182,31.074565638419337,-21.5325867153952,"3.37","1.58",80,"107.8",3,"93.9",2268,"6.6",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.91",0.587,0.532,"0",1,0,0,4,57,1,"Sinker",2,7,2,7,7,2,2,7,"Standard","Standard",136,"-0.012","-0.259","74.7","7.6",0.627,"0.259","107.8",-5,-5,0.039,0.039,26,28,26,29,3,2,5,,5,1,"1.84","1.58","1.58","30.8",12.249304314153232,6.029526786829765,31.384742084963406,36.40987244023148,23.09772848995563
"FF","2025-04-29","95.7","2.91","5.86","Crochet, Garrett",672386,676979,"field_out","hit_into_play",,,,,2,"Alejandro Kirk lines out sharply to center fielder Ceddanne Rafaela.","R","R","L","TOR","BOS","X",8,"line_drive",1,2,2025,"0.88","1.12","-0.1","3.06",,,543807,2,6,"Bot",147.59,48.36,,,,,-9.967710015670223,-138.9782055548221,-4.24206932371249,13.805282073119212,33.681033399327994,-16.922519502962572,"3.08","1.48",376,"103.4",19,"95.8",2477,"6.6",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.87",0.351,0.5313333333333333,"0",1,0,0,5,51,4,"4-Seam Fastball",2,7,2,7,7,2,2,7,"Standard","Strategic",128,"-0.008","-0.182","74.1","7.0",0.9470000000000001,"0.182","103.4",-5,-5,0.04,0.04,26,26,26,27,3,2,5,2,5,1,"1.4","0.88","-0.88","27.3",4.663749434600521,6.611048941935156,13.378015094635384,42.1197857556045,26.24817848425177
